type,client,tx,amount
deposit,14024,58,7462.68796045
deposit,36821,59,5111.57208
withdrawal,10838,60,4696.73
deposit,56348,61,9743.718256
withdrawal,60174,62,2452.61539
withdrawal,7846,63,6076.588
chargeback,57148,6,
deposit,4546,64,4673.4314
resolve,63183,25,
withdrawal,12783,65,3537.0752
dispute,36235,42,
withdrawal,21518,66,2622.066
chargeback,38195,29,
chargeback,9419,7,
chargeback,25919,2,
deposit,47053,67,7732.205066
withdrawal,59006,68,1843.0356652
chargeback,54056,52,
deposit,3220,69,3733.446748
withdrawal,39067,70,8743.27
deposit,63148,71,5665.59524746
dispute,3220,69,
resolve,7361,57,
withdrawal,47164,72,1155.1410148
dispute,36235,42,
deposit,24726,73,2387.491115
deposit,51604,74,2451.856572
resolve,28114,9,
withdrawal,63289,75,4582.35480488
chargeback,9419,7,
deposit,3242,76,8649.49674
deposit,52512,77,4801.718485
resolve,35522,1,
resolve,46859,30,
dispute,36235,42,
resolve,59006,68,
resolve,13805,23,
chargeback,36235,42,
resolve,40537,45,
withdrawal,17839,78,6958.45279425
withdrawal,6371,79,9195.60349
chargeback,6371,79,
deposit,5214,80,9272.134
dispute,11740,31,
deposit,23997,81,9116.22776383
withdrawal,13543,82,7132.08309
chargeback,36235,42,
dispute,12461,11,
dispute,5147,14,
deposit,1,2,10.0,extra
chargeback,37340,5,
dispute,58700,48,
withdrawal,3524,83,3967.76752
dispute,13543,82,
chargeback,14024,58,
chargeback,14024,58,
dispute,25919,2,
deposit,33067,84,5150.248
dispute,54444,16,
dispute,4150,38,
resolve,60528,27,
deposit,12728,85,9017.069874
chargeback,3524,83,
withdrawal,38838,86,3932.51
chargeback,31200,17,
dispute,63148,71,
withdrawal,61183,87,613.8784109
deposit,32437,88,5825.2099
resolve,64091,12,
deposit,38091,89,4475.0235
withdrawal,35493,90,6773.89545151
deposit,1882,91,2963.49600
resolve,45859,50,
chargeback,62482,4,
resolve,64091,12,
deposit,3521,92,1445.23955355
deposit,20463,93,5494.4597
withdrawal,45505,94,8957.949
dispute,36821,59,
resolve,62482,4,
deposit
dispute,36235,42,
chargeback,54444,16,
deposit,55267,95,7090.9162466
dispute,11740,31,
chargeback,58700,48,
dispute,57148,6,
resolve,50949,53,
dispute,11740,31,
chargeback,63183,25,
resolve,56865,47,
deposit,63738,96,214.99
chargeback,25919,2,
deposit,24222,97,3783.779073
randomtype,1,2,5.0
withdrawal,53284,98,8962.990117
withdrawal,abc,123,10.5
withdrawal,58252,99,1474.07142
chargeback,4004,49,
randomtype,1,2,5.0
resolve,5214,80,
withdrawal,8690,100,1103.99059
dispute,12461,11,
chargeback,33067,84,
dispute,35005,22,
chargeback,23236,33,
dispute,32975,46,
chargeback,50949,53,
resolve,4150,38,
deposit,13581,101,1550.19180
chargeback,63738,96,
deposit,38729,102,3703.52
resolve,45505,94,
chargeback,35522,1,
dispute,3220,69,
withdrawal,33053,103,7075.00
chargeback,32975,46,
withdrawal,30201,104,7773.17114
withdrawal,10287,105,3614.71793
deposit,50343,106,5477.81137543
resolve,33053,103,
dispute,24117,43,
withdrawal,59566,107,188.44461191
withdrawal,60097,108,3612.2357
dispute,6371,79,
chargeback,39067,70,
deposit,43514,109,6381.2658
resolve,20950,37,
dispute,47164,72,
resolve,49582,28,
withdrawal,56076,110,5372.330045
resolve,59006,68,
resolve,47164,72,
resolve,36235,42,
dispute,28260,54,
withdrawal,47399,111,4870.97959134
resolve,34705,44,
chargeback,4546,64,
withdrawal,58819,112,8067.33790584
dispute,12451,19,
chargeback,23236,33,
chargeback,6371,79,
chargeback,7361,57,
resolve,4004,49,
deposit,3630,113,7894.0513
deposit,46799,114,468.7140
dispute,13543,82,
withdrawal,50295,115,5179.67784667
withdrawal,37572,116,5192.99579
deposit,58994,117,3851.3368
resolve,56348,61,
deposit,58272,118,3161.0376525
deposit,40332,119,1649.170283
dispute,36496,15,
deposit,26497,120,6477.1752
withdrawal,50396,121,5037.9430364
dispute,1,2,10.0
deposit,21307,122,7002.005
resolve,28826,18,
dispute,49582,28,
chargeback,25919,2,
withdrawal,53785,123,2264.53534
resolve,37340,5,
deposit,2243,124,5507.689
withdrawal,59056,125,1377.21
dispute,36235,42,
chargeback,58612,24,
resolve,4004,49,
dispute,64642,3,
dispute,13805,23,
randomtype,1,2,5.0
dispute,51604,74,
resolve,32592,32,
dispute,11740,31,
chargeback,58272,118,
dispute,49482,34,
dispute,3220,69,
dispute,10287,105,
dispute,1,2,10.0
dispute,58994,117,
deposit,57570,126,6249.27198680
deposit,38019,127,3147.25
dispute,1,2,10.0
deposit,16175,128,2762.01134231
deposit,55843,129,2638.060
dispute,38091,89,
dispute,24762,36,
deposit,38410,130,7728.87
deposit,57816,131,1970.09
deposit,61751,132,4720.13530672
deposit,12665,133,5271.0419
deposit,21201,134,9184.43
dispute,32975,46,
dispute,57148,6,
withdrawal,58598,135,9067.04411379
withdrawal,15039,136,2917.7834794
deposit,32679,137,4198.41
resolve,50295,115,
dispute,35493,90,
chargeback,5214,80,
withdrawal,4514,138,8775.12128
deposit,13202,139,8450.688838
deposit
dispute,58272,118,
dispute,45505,94,
resolve,53284,98,
deposit,28652,140,4518.75081353
withdrawal,7290,141,4230.81
chargeback,20950,37,
deposit,42176,142,9187.753922
deposit,23592,143,6968.320
resolve,24726,73,
withdrawal,64946,144,9549.727906
dispute,54056,52,
withdrawal,37274,145,7328.36458
chargeback,2243,124,
withdrawal,62192,146,5747.085855
withdrawal,43905,147,3882.519
resolve,46799,114,
resolve,58272,118,
withdrawal,28768,148,4704.60847192
dispute,3220,69,
deposit,60232,149,4900.5651
chargeback,4546,64,
resolve,21307,122,
dispute,13543,82,
resolve,4004,49,
resolve,55267,95,
deposit,44169,150,7986.37
dispute,20463,93,
chargeback,38838,86,
chargeback,55843,129,
chargeback,36496,15,
dispute,6371,79,
chargeback,49482,34,
resolve,4004,49,
withdrawal,58872,151,8040.887
deposit,10916,152,1016.434
deposit,37399,153,791.20
withdrawal,9033,154,3692.13869
withdrawal,19511,155,7933.7580447
withdrawal,27113,156,9023.9614961
chargeback,2243,8,
deposit,43562,157,631.0210
withdrawal,8420,158,2356.699
withdrawal,47870,159,1134.82576
dispute,62192,146,
resolve,40928,56,
deposit,12856,160,7146.219
deposit,21384,161,7409.2442337
deposit,44288,162,6718.5904274
withdrawal,12326,163,8666.45324
dispute,24850,10,
chargeback,40928,56,
withdrawal,47167,164,6243.12992
resolve,64642,3,
withdrawal,11295,165,6680.9653
chargeback,64946,144,
dispute,64091,12,
withdrawal,61144,166,4712.004
withdrawal,2897,167,2526.10827
dispute,60232,149,
dispute,63289,75,
deposit,34408,168,9367.5607284
resolve,38019,127,
chargeback,12326,163,
dispute,16175,128,
resolve,38019,127,
resolve,16175,128,
deposit,44618,169,9742.60
deposit,47785,170,9560.0481038
chargeback,61144,166,
deposit,53599,171,615.41
deposit,18914,172,7895.17
chargeback,40928,56,
dispute,57570,126,
resolve,28260,54,
dispute,13581,101,
resolve,13805,23,
resolve,28826,18,
dispute,20950,37,
resolve,7361,57,
withdrawal,63233,173,1633.86791
deposit,31946,174,7495.770892
deposit,43187,175,3994.407619
withdrawal,2795,176,8289.23
resolve,31200,17,
chargeback,58252,99,
dispute,56076,110,
dispute,16175,128,
dispute,44169,150,
deposit,35143,177,2546.1766
resolve,27113,156,
withdrawal,28182,178,1584.49125688
dispute,64642,3,
chargeback,35143,177,
resolve,45505,94,
chargeback,13581,101,
deposit,53994,179,4055.528005
deposit,14107,180,7050.69521
dispute,14024,58,
resolve,20950,37,
dispute,19511,155,
dispute,55267,95,
deposit,31521,181,8438.971
dispute,42176,142,
withdrawal,25040,182,5145.76595142
withdrawal,16887,183,470.95654324
dispute,44288,162,
chargeback,12783,65,
resolve,24762,36,
withdrawal,3314,184,9629.23
resolve,1879,20,
resolve,4004,49,
withdrawal,33291,185,4607.10353
dispute,38019,127,
chargeback,32975,46,
dispute,7846,63,
resolve,1879,20,
dispute,35143,177,
withdrawal,42470,186,4333.2632215
resolve,4150,38,
resolve,4004,49,
chargeback,32437,88,
withdrawal,32467,187,2614.95
dispute,30201,104,
chargeback,19511,155,
withdrawal,43128,188,3432.67
dispute,15039,136,
deposit,3501,189,4083.829891
deposit,20040,190,6016.88482
deposit
withdrawal,35067,191,6615.106
withdrawal,abc,123,10.5
withdrawal,8894,192,2351.653622
chargeback,53599,171,
withdrawal,29508,193,4710.72
chargeback,3501,189,
resolve,35067,191,
deposit,40033,194,2646.008554
randomtype,1,2,5.0
withdrawal,2915,195,3939.5556
dispute,10916,152,
chargeback,50295,115,
withdrawal,31774,196,6802.21126
resolve,50343,106,
resolve,32975,46,
chargeback,58612,24,
withdrawal,24239,197,5822.786673
withdrawal,7507,198,6434.711
resolve,56348,61,
resolve,47870,159,
resolve,47870,159,
deposit,48776,199,287.6936426
dispute,25040,182,
resolve,12451,19,
deposit,10740,200,2659.93895658
resolve,61183,87,
chargeback,37572,116,
chargeback,7290,141,
deposit,24805,201,4029.84
chargeback,13202,139,
withdrawal,6663,202,1246.96761163
chargeback,57570,126,
chargeback,6663,202,
dispute,59056,125,
dispute,50343,106,
resolve,35143,177,
resolve,63233,173,
dispute,28768,148,
deposit,30058,203,2999.213
withdrawal,13849,204,9560.4390
deposit,24464,205,4321.1238785
withdrawal,48084,206,4004.487392
chargeback,3630,113,
deposit,1,2,-50.0
withdrawal,36084,207,4441.04
withdrawal,64837,208,6722.136
dispute,3314,184,
chargeback,10287,105,
deposit,59782,209,9251.443
withdrawal,55569,210,1997.070613
chargeback,2915,195,
chargeback,5237,40,
dispute,6663,202,
withdrawal,39529,211,893.80485504
deposit,13900,212,1664.96176678
resolve,46859,30,
dispute,21307,122,
withdrawal,abc,123,10.5
deposit,54380,213,2216.719
resolve,59782,209,
withdrawal,48845,214,4628.84
resolve,24850,10,
deposit,5356,215,2405.1797
dispute,47053,67,
resolve,64642,3,
deposit,18305,216,9727.0143
resolve,20950,37,
resolve,64642,3,
dispute,23236,33,
withdrawal,27310,217,761.63
chargeback,10916,152,
withdrawal,58245,218,4639.2404
resolve,59006,68,
chargeback,3521,92,
withdrawal,49067,219,7869.77
chargeback,47399,111,
dispute,63738,96,
dispute,53284,98,
resolve,50098,51,
chargeback,47053,67,
dispute,60174,62,
chargeback,7846,63,
dispute,33053,103,
deposit,26793,220,8503.560
dispute,64091,12,
resolve,12326,163,
dispute,38838,86,
withdrawal,45204,221,1597.634787
resolve,21384,161,
deposit,28693,222,8599.631
resolve,18305,216,
chargeback,17185,35,
withdrawal,38836,223,4699.464264
deposit,25711,224,4772.318862
withdrawal,39243,225,2988.740
chargeback,9419,7,
chargeback,45204,221,
deposit,49914,226,9435.89652214
chargeback,49914,226,
chargeback,36496,15,
resolve,49914,226,
resolve,12326,163,
deposit,22035,227,6550.225
deposit,38115,228,1247.948969
dispute,12461,11,
dispute,17839,78,
deposit,58385,229,2458.2153661
dispute,9419,7,
chargeback,57694,55,
deposit,8177,230,8663.55766
chargeback,3524,83,
chargeback,38115,228,
deposit,45468,231,6825.4041852
deposit,42096,232,916.47084
chargeback,24464,205,
chargeback,12856,160,
withdrawal,21669,233,2784.422193
dispute,12451,19,
deposit,60404,234,6157.0578928
dispute,45505,94,
chargeback,2915,195,
chargeback,24117,43,
dispute,32679,137,
resolve,5356,215,
withdrawal,10635,235,5249.40038315
deposit,24252,236,4668.746162
withdrawal,26739,237,9190.89649566
deposit,49707,238,8809.96874551
resolve,24850,10,
deposit,22661,239,9515.743432
deposit,62422,240,2008.6007755
dispute,3501,189,
dispute,32975,46,
chargeback,57816,131,
deposit,19817,241,7161.49586391
chargeback,13543,82,
dispute,10740,200,
resolve,28826,18,
deposit,14905,242,5837.292
chargeback,8894,192,
deposit,41065,243,4714.1321
dispute,58872,151,
deposit,61831,244,1486.835868
dispute,5147,14,
deposit,52484,245,3968.8730
chargeback,58612,24,
deposit,37861,246,4297.7593115
withdrawal,4938,247,6319.42
dispute,18914,172,
withdrawal,24764,248,3472.387961
chargeback,31774,196,
withdrawal,abc,123,10.5
dispute,45468,231,
withdrawal,49838,249,1813.696
deposit,35792,250,3185.645
deposit,24574,251,6060.15501
withdrawal,32374,252,8622.863
deposit
deposit,5928,253,5121.994267
dispute,43562,157,
chargeback,32679,137,
deposit,37222,254,5124.1104965
dispute,28826,18,
deposit,48823,255,3222.4165
deposit,60774,256,214.9972549
dispute,55267,95,
withdrawal,29591,257,674.6333942
withdrawal,54529,258,8147.7007
deposit,13395,259,1967.4500
dispute,8690,100,
dispute,50098,51,
deposit,43941,260,1169.95735669
deposit,25885,261,9747.751
deposit,62791,262,3152.05
chargeback,40273,39,
chargeback,56707,41,
chargeback,26497,120,
chargeback,24239,197,
resolve,40928,56,
resolve,16887,183,
dispute,3314,184,
resolve,53284,98,
withdrawal,13090,263,8161.1167
deposit,41118,264,9842.98
withdrawal,24954,265,9321.12867584
chargeback,28114,9,
resolve,24574,251,
chargeback,54056,52,
dispute,32975,46,
withdrawal,55968,266,428.29160903
resolve,50295,115,
deposit,1274,267,3456.586
deposit,6018,268,9584.020
withdrawal,47916,269,873.6166862
withdrawal,2995,270,4197.01963522
dispute,7721,21,
deposit,64296,271,6755.965089
deposit,56361,272,3663.339
deposit,5976,273,8543.93
withdrawal,18326,274,2741.411847
chargeback,47916,269,
dispute,29591,257,
resolve,58245,218,
dispute,58245,218,
resolve,3521,92,
chargeback,43514,109,
deposit,1427,275,8229.50120389
resolve,27310,217,
dispute,39067,70,
chargeback,63183,25,
chargeback,3524,83,
deposit,62373,276,6427.05757
withdrawal,32363,277,2733.9713544
withdrawal,35065,278,3370.84
dispute,38115,228,
withdrawal,30970,279,3453.7745204
chargeback,7507,198,
deposit,43605,280,9265.915194
deposit,64334,281,5399.65886
resolve,40537,45,
chargeback,3524,83,
chargeback,24117,43,
chargeback,43128,188,
resolve,57570,126,
deposit,6297,282,3302.5919338
chargeback,42470,186,
withdrawal,41625,283,1208.957
dispute,47870,159,
dispute,60404,234,
dispute,60232,149,
deposit,14319,284,9272.10436010
withdrawal,32744,285,3853.93493512
deposit,19555,286,4327.2821355
resolve,3524,83,
chargeback,13090,263,
deposit,59922,287,9613.07
resolve,13849,204,
withdrawal,33395,288,5779.326
deposit,64666,289,3376.638
chargeback,60232,149,
deposit,2130,290,2102.361
deposit,48421,291,2975.0856401
deposit,18956,292,6807.066
resolve,15039,136,
chargeback,28826,18,
resolve,5147,14,
dispute,17185,35,
dispute,38195,29,
deposit,12588,293,2516.137871
deposit,17698,294,8517.88796909
resolve,37340,5,
deposit,31244,295,4494.38159
withdrawal,38877,296,2454.23727535
deposit,32626,297,5607.90615587
resolve,56865,47,
withdrawal,40470,298,362.2914
deposit,18597,299,3069.47038474
withdrawal,1029,300,7215.58792099
withdrawal,38061,301,74.5934970
chargeback,43562,157,
resolve,40273,39,
chargeback,31200,17,
withdrawal,23418,302,5008.72202
resolve,13202,139,
deposit,22093,303,4805.79855
withdrawal,31057,304,7673.54616656
deposit,1,2,-50.0
withdrawal,18060,305,1054.18
withdrawal,16852,306,9521.28476266
deposit,54387,307,8140.35513796
deposit,56174,308,6604.6924935
dispute,51604,74,
resolve,30058,203,
deposit,26114,309,5847.067
resolve,3524,83,
dispute,3220,69,
deposit,14533,310,4017.450311
withdrawal,56416,311,6384.62901
withdrawal,64707,312,4013.25684
resolve,46799,114,
deposit,58709,313,8185.21
chargeback,44169,150,
dispute,38195,29,
resolve,12588,293,
chargeback,59922,287,
resolve,33053,103,
chargeback,7721,21,
resolve,12326,163,
deposit,9537,314,5129.0718223
withdrawal,44272,315,8126.0849966
dispute,60097,108,
chargeback,26739,237,
dispute,28768,148,
chargeback,2795,176,
deposit,64929,316,2689.490
deposit,12085,317,7266.510
deposit,18535,318,20.3002105
withdrawal,6061,319,4756.72
dispute,23418,302,
dispute,64091,12,
chargeback,31946,174,
resolve,64946,144,
chargeback,35065,278,
dispute,13805,23,
withdrawal,43694,320,1489.7349
dispute,37399,153,
chargeback,64296,271,
deposit,57423,321,5364.00745010
resolve,55968,266,
deposit,1,2,10.0,extra
withdrawal,14538,322,8328.7265471
resolve,12451,19,
chargeback,38729,102,
chargeback,61831,244,
resolve,25885,261,
withdrawal,14838,323,3726.5679
resolve,35493,90,
resolve,5147,14,
dispute,9033,154,
deposit,24259,324,3562.70
chargeback,41118,264,
deposit,9856,325,7210.78927470
withdrawal,13388,326,8583.5474
deposit,30352,327,879.408
deposit,23553,328,1076.049867
resolve,10635,235,
resolve,13543,82,
resolve,24574,251,
dispute,36496,15,
deposit,23645,329,8314.720
chargeback,56174,308,
resolve,7846,63,
dispute,6061,319,
dispute,44618,169,
chargeback,30214,13,
resolve,58245,218,
chargeback,44169,150,
resolve,25885,261,
chargeback,16175,128,
resolve,64946,144,
withdrawal,35893,330,3403.251683
chargeback,30214,13,
chargeback,7290,141,
withdrawal,51779,331,8642.5818
deposit,54952,332,4629.52382827
resolve,18597,299,
dispute,37399,153,
dispute,3242,76,
chargeback,59056,125,
chargeback,5214,80,
deposit,56658,333,1113.005
resolve,7361,57,
deposit,29889,334,323.892
deposit,1,2,-50.0
deposit,8121,335,8541.9988
resolve,55569,210,
dispute,54529,258,
withdrawal,7299,336,2464.4708439
chargeback,60232,149,
resolve,18914,172,
deposit
chargeback,58872,151,
deposit,30472,337,6774.30737620
withdrawal,42026,338,6582.33
resolve,26793,220,
resolve,26793,220,
chargeback,54444,16,
chargeback,25711,224,
deposit,59145,339,7822.352281
resolve,43694,320,
dispute,31521,181,
deposit,43155,340,3650.8228
resolve,18597,299,
resolve,16852,306,
chargeback,6663,202,
deposit,2434,341,5486.23340
deposit,20213,342,7316.11183
resolve,45468,231,
chargeback,29591,257,
withdrawal,9958,343,44.709
deposit,49376,344,2325.1118
resolve,54529,258,
resolve,24259,324,
resolve,14838,323,
dispute,12326,163,
deposit,34562,345,5009.011
randomtype,1,2,5.0
resolve,50396,121,
deposit,46712,346,4795.8752
deposit,1014,347,5151.893
deposit,1,2,-50.0
chargeback,31521,181,
resolve,12588,293,
dispute,37274,145,
dispute,42470,186,
dispute,40490,26,
chargeback,63289,75,
withdrawal,38306,348,6045.891
deposit,17066,349,7968.59874621
chargeback,57423,321,
chargeback,43562,157,
resolve,11740,31,
deposit,59018,350,3807.61067654
dispute,26114,309,
dispute,64296,271,
withdrawal,4375,351,8452.46989
dispute,43562,157,
chargeback,23418,302,
chargeback,64929,316,
chargeback,43941,260,
deposit,64362,352,9073.99041
resolve,34408,168,
chargeback,35792,250,
resolve,2915,195,
resolve,28652,140,
deposit,12313,353,4286.93809301
deposit,3246,354,2674.26186
withdrawal,55283,355,7744.2189359
deposit,53021,356,3240.513759
withdrawal,64951,357,4520.53048365
deposit,39693,358,6435.974
chargeback,6061,319,
deposit,37674,359,1709.34540
dispute,56076,110,
deposit,32912,360,5222.88133655
deposit,4458,361,6458.8457330
dispute,9958,343,
resolve,39067,70,
chargeback,57570,126,
withdrawal,45374,362,292.381161
withdrawal,5108,363,9251.7088535
withdrawal,36394,364,6468.83
chargeback,12783,65,
resolve,26739,237,
dispute,50396,121,
resolve,23592,143,
chargeback,9537,314,
resolve,29889,334,
deposit,39073,365,7829.77191361
dispute,64946,144,
deposit,1,2,-50.0
withdrawal,15997,366,7594.63020832
chargeback,29508,193,
resolve,23592,143,
withdrawal,2163,367,3596.73
dispute,5928,253,
deposit
deposit,44887,368,5155.29594195
chargeback,30058,203,
withdrawal,18950,369,3215.780525
resolve,29591,257,
deposit,29518,370,5729.77
resolve,41118,264,
chargeback,14538,322,
resolve,3521,92,
chargeback,39073,365,
randomtype,1,2,5.0
chargeback,26739,237,
deposit,49591,371,4367.516
chargeback,14107,180,
resolve,38306,348,
withdrawal,39766,372,2325.45361148
withdrawal,18819,373,8035.73764021
withdrawal,52733,374,8462.87260
resolve,61144,166,
dispute,5108,363,
chargeback,38091,89,
dispute,29889,334,
deposit,62808,375,5359.60
chargeback,31057,304,
chargeback,53284,98,
chargeback,42470,186,
chargeback,38838,86,
dispute,50949,53,
chargeback,6018,268,
resolve,24252,236,
deposit,46454,376,7208.846
resolve,44618,169,
withdrawal,8132,377,9740.49
deposit,1,2,10.0,extra
chargeback,19817,241,
deposit,981,378,4317.6145
chargeback,37274,145,
chargeback,35143,177,
withdrawal,8085,379,5723.132
dispute,48084,206,
chargeback,4004,49,
dispute,1427,275,
resolve,37274,145,
withdrawal,52935,380,5914.0751555
deposit,47350,381,8065.3745
resolve,49914,226,
resolve,34562,345,
resolve,40273,39,
chargeback,3246,354,
withdrawal,14613,382,83.38501168
deposit,29920,383,2749.205917
withdrawal,abc,123,10.5
dispute,21669,233,
dispute,40332,119,
chargeback,59566,107,
withdrawal,65137,384,2985.95
resolve,44169,150,
resolve,49707,238,
withdrawal,29127,385,4606.55730251
resolve,59145,339,
chargeback,24805,201,
dispute,2995,270,
withdrawal,31102,386,9464.45
chargeback,18305,216,
withdrawal,33526,387,7021.68145061
deposit,39274,388,6380.407
chargeback,53021,356,
deposit,40883,389,8752.31039
chargeback,29508,193,
deposit,55066,390,2043.79397
dispute,8690,100,
chargeback,52935,380,
deposit,43986,391,1666.49168
deposit,43301,392,9567.579
deposit,3655,393,4684.367
withdrawal,22486,394,3767.3189
chargeback,36496,15,
chargeback,39274,388,
dispute,5356,215,
dispute,24252,236,
deposit,34258,395,630.50274817
withdrawal,11945,396,2848.75855
dispute,39073,365,
withdrawal,43836,397,1651.36828
deposit,32540,398,7908.7194
deposit,57485,399,5226.06
dispute,64946,144,
resolve,24252,236,
deposit
withdrawal,12886,400,764.1635
resolve,38306,348,
chargeback,50949,53,
dispute,59006,68,
deposit,40747,401,1088.713
dispute,2897,167,
chargeback,34408,168,
deposit,10082,402,2566.523996
resolve,54952,332,
resolve,28182,178,
resolve,40490,26,
deposit,1,2,10.0,extra
chargeback,30201,104,
resolve,30058,203,
resolve,28768,148,
chargeback,60774,256,
dispute,22093,303,
resolve,58612,24,
withdrawal,19830,403,9186.88
deposit,29425,404,2975.84217
deposit,57820,405,4867.46
deposit,33137,406,8660.801691
chargeback,39067,70,
resolve,37399,153,
deposit,29127,407,213.56
resolve,35522,1,
withdrawal,2298,408,4780.043963
dispute,47053,67,
withdrawal,47737,409,5916.46140
deposit,56692,410,5372.249
withdrawal,8243,411,9480.06907
deposit,64441,412,1043.66704
dispute,47916,269,
dispute,40470,298,
chargeback,23592,143,
withdrawal,25939,413,5831.70351638
dispute,57485,399,
withdrawal,26271,414,4308.17576697
chargeback,55843,129,
chargeback,32540,398,
chargeback,29518,370,
withdrawal,54595,415,2995.5397278
dispute,33526,387,
dispute,7290,141,
dispute,37674,359,
deposit,54162,416,1404.1479239
chargeback,28652,140,
resolve,34408,168,
chargeback,23645,329,
deposit,24750,417,9634.53008
withdrawal,24244,418,9698.767
dispute,47167,164,
deposit,15411,419,9710.74667
withdrawal,61283,420,1297.09902
chargeback,49482,34,
chargeback,14319,284,
dispute,36394,364,
resolve,23592,143,
withdrawal,62390,421,2228.39748
dispute,16852,306,
deposit,46164,422,3215.48635384
withdrawal,52973,423,2523.7761
deposit,38408,424,7113.4920
deposit,22812,425,1732.10
dispute,19830,403,
chargeback,57570,126,
resolve,32626,297,
withdrawal,11843,426,1173.56810933
deposit,23595,427,3912.85207
dispute,60528,27,
withdrawal,61021,428,5244.511454
deposit,11717,429,2394.6120861
withdrawal,40314,430,498.331
chargeback,47350,381,
deposit
deposit,42102,431,8047.139
dispute,61831,244,
deposit,7188,432,1462.13996
chargeback,33395,288,
withdrawal,5950,433,8982.78
dispute,5147,14,
deposit,61175,434,8262.9103481
withdrawal,25703,435,5806.011433
chargeback,10635,235,
dispute,8894,192,
dispute,4546,64,
chargeback,3220,69,
chargeback,55843,129,
deposit,38714,436,6203.6818
chargeback,54380,213,
deposit,24448,437,907.984
resolve,29127,385,
deposit,6304,438,55.80957836
dispute,9419,7,
withdrawal,41197,439,8378.023621
resolve,4546,64,
withdrawal,29388,440,5805.00335
deposit,1,2,-50.0
resolve,53599,171,
withdrawal,58865,441,3696.6477
